@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

ionosphere,1,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,32,3,0,91.428571,8.571429,0,0.797688,0.090879,0.29208,19.907112,61.485901,32.502297,33.025331,-0.523034,0.928637,0.943581,-0.014944,25.882572,0.739502,2741.704472,0.75,9,0,0,1,23,0.25,3,1,0.75,0.857143,0.814531,0.847826,0.880465,0.914286,0.164286,0.835714,0.085714,0.924176,0.914286,0.910787,0.814531,0.847826,0.859924,0.897959,0.914286,1.97,0,1.946345,0.000255,54023,101687,14858,91.428571,51.428571,?
ionosphere,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,315,36,32,4,0,88.888889,11.111111,0,0.750865,0.116034,0.332682,25.169734,69.261839,33.969909,43.410056,-9.440148,0.943609,1.205835,-0.262226,25.230307,0.700842,2677.329125,0.769231,10,0.043478,1,0.956522,22,0.230769,3,0.909091,0.769231,0.833333,0.756759,0.799331,0.849592,0.888889,0.163136,0.836864,0.111111,0.890505,0.888889,0.886574,0.756759,0.799331,0.830386,0.875,0.888889,1.937,0.001,1.917252,0.000268,54023,101378,15167,88.888889,51.388889,?
ionosphere,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,32,3,0,91.428571,8.571429,0,0.813499,0.090385,0.25622,19.495758,53.00808,33.329976,10.45639,22.873586,0.952285,0.298754,0.653531,26.751879,0.764339,2841.642475,0.846154,11,0.045455,1,0.954545,21,0.153846,2,0.916667,0.846154,0.88,0.815076,0.98951,0.983826,0.914286,0.113586,0.886414,0.085714,0.914389,0.914286,0.913524,0.815076,0.98951,0.990313,0.906667,0.914286,1.947,0,1.927562,0.000372,54023,101687,14858,97.142857,58.571429,?
ionosphere,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,31,4,0,88.571429,11.428571,0,0.747292,0.119858,0.332418,25.853031,68.772449,33.329976,51.992552,-18.662576,0.952285,1.485501,-0.533216,24.559437,0.701698,2608.756505,0.769231,10,0.045455,1,0.954545,21,0.230769,3,0.909091,0.769231,0.833333,0.75333,0.874126,0.890164,0.885714,0.161938,0.838062,0.114286,0.887662,0.885714,0.883437,0.75333,0.874126,0.862952,0.873188,0.885714,1.933,0,1.91072,0.000257,54023,101687,14858,91.428571,54.285714,?
ionosphere,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,32,3,0,91.428571,8.571429,0,0.807339,0.104137,0.289264,22.462016,59.844358,33.329976,21.296975,12.033001,0.952285,0.608485,0.3438,25.912828,0.740367,2752.516623,0.769231,10,0,0,1,22,0.230769,3,1,0.769231,0.869565,0.822753,0.923077,0.92674,0.914286,0.145055,0.854945,0.085714,0.924571,0.914286,0.911431,0.822753,0.923077,0.935073,0.902868,0.914286,1.916,0.001,1.894256,0.000382,54023,101687,14858,94.285714,57.142857,?
ionosphere,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,33,2,0,94.285714,5.714286,0,0.873646,0.067217,0.221096,14.498591,45.741499,33.329976,9.185123,24.144853,0.952285,0.262432,0.689853,28.575647,0.816447,3035.367062,0.846154,11,0,0,1,22,0.153846,2,1,0.846154,0.916667,0.880705,0.975524,0.973077,0.942857,0.096703,0.903297,0.057143,0.947619,0.942857,0.941718,0.880705,0.975524,0.979898,0.936594,0.942857,1.885,0,1.851486,0.000288,54023,101687,14858,97.142857,58.571429,?
ionosphere,1,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,33,2,0,94.285714,5.714286,0,0.877622,0.079108,0.251485,17.063449,52.028445,33.329976,16.034223,17.295753,0.952285,0.458121,0.494164,27.583787,0.788108,2930.009577,0.923077,12,0.045455,1,0.954545,21,0.076923,1,0.923077,0.923077,0.923077,0.877622,0.940559,0.951643,0.942857,0.065235,0.934765,0.057143,0.942857,0.942857,0.942857,0.877622,0.940559,0.948288,0.938811,0.942857,1.873,0,1.84871,0.000327,54023,101687,14858,94.285714,52.857143,?
ionosphere,1,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,31,4,0,88.571429,11.428571,0,0.724409,0.110048,0.288306,24.106237,60.691378,32.502297,22.851306,9.650991,0.928637,0.652894,0.275743,24.284151,0.693833,2572.385969,0.666667,8,0,0,1,23,0.333333,4,1,0.666667,0.8,0.753592,0.905797,0.922385,0.885714,0.219048,0.780952,0.114286,0.902646,0.885714,0.878857,0.753592,0.905797,0.891034,0.86,0.885714,1.882,0.001,1.875325,0.000257,54023,101687,14858,97.142857,55.714286,?
ionosphere,1,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,31,4,0,88.571429,11.428571,0,0.724409,0.10357,0.306356,22.687153,64.491087,32.502297,23.691667,8.81063,0.928637,0.676905,0.251732,24.840201,0.70972,2631.287491,0.666667,8,0,0,1,23,0.333333,4,1,0.666667,0.8,0.753592,0.974638,0.95877,0.885714,0.219048,0.780952,0.114286,0.902646,0.885714,0.878857,0.753592,0.974638,0.977527,0.86,0.885714,1.894,0.001,1.883976,0.000318,54023,101687,14858,91.428571,51.428571,?
ionosphere,1,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,33,2,0,94.285714,5.714286,0,0.867925,0.057272,0.22417,12.545516,47.190205,32.502297,10.365461,22.136835,0.928637,0.296156,0.632481,28.273206,0.807806,2994.940928,0.833333,10,0,0,1,23,0.166667,2,1,0.833333,0.909091,0.875595,0.98913,0.983333,0.942857,0.109524,0.890476,0.057143,0.947429,0.942857,0.94145,0.875595,0.98913,0.990554,0.933712,0.942857,1.9,0,1.869074,0.000245,54023,101687,14858,97.142857,52.857143,?
ionosphere,1,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,316,35,32,3,0,91.428571,8.571429,0,0.797688,0.088095,0.292446,19.297413,61.563021,32.502297,36.968056,-4.465759,0.928637,1.05623,-0.127593,26.035845,0.743881,2757.94043,0.75,9,0,0,1,23,0.25,3,1,0.75,0.857143,0.814531,0.84058,0.870833,0.914286,0.164286,0.835714,0.085714,0.924176,0.914286,0.910787,0.814531,0.84058,0.843181,0.897959,0.914286,1.962,0,1.94037,0.000251,54023,101687,14858,91.428571,50,?
ionosphere,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1801,315,36,32,4,0,88.888889,11.111111,0,0.750865,0.107286,0.314155,23.272237,65.404607,33.969909,41.710294,-7.740386,0.943609,1.158619,-0.215011,25.749244,0.715257,2732.396451,0.769231,10,0.043478,1,0.956522,22,0.230769,3,0.909091,0.769231,0.833333,0.756759,0.799331,0.855675,0.888889,0.163136,0.836864,0.111111,0.890505,0.888889,0.886574,0.756759,0.799331,0.830848,0.875,0.888889,1.935,0,1.920889,0.000253,54023,101378,15167,91.666667,52.777778,?
ionosphere,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1802,316,35,33,2,0,94.285714,5.714286,0,0.877622,0.076649,0.222616,16.532987,46.055976,33.329976,9.294985,24.034991,0.952285,0.265571,0.686714,27.890287,0.796865,2962.566617,0.923077,12,0.045455,1,0.954545,21,0.076923,1,0.923077,0.923077,0.923077,0.877622,0.986014,0.97966,0.942857,0.065235,0.934765,0.057143,0.942857,0.942857,0.942857,0.877622,0.986014,0.987405,0.938811,0.942857,1.984,0,1.9655,0.000248,54023,101687,14858,97.142857,57.142857,?
ionosphere,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1802,316,35,31,4,0,88.571429,11.428571,0,0.747292,0.117165,0.332599,25.272117,68.809776,33.329976,40.433106,-7.10313,0.952285,1.155232,-0.202947,24.700498,0.705729,2623.740316,0.769231,10,0.045455,1,0.954545,21,0.230769,3,0.909091,0.769231,0.833333,0.75333,0.916084,0.912947,0.885714,0.161938,0.838062,0.114286,0.887662,0.885714,0.883437,0.75333,0.916084,0.929576,0.873188,0.885714,1.896,0,1.885805,0.000259,54023,101687,14858,91.428571,52.857143,?
ionosphere,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1802,316,35,31,4,0,88.571429,11.428571,0,0.747292,0.119138,0.333793,25.697693,69.056821,33.329976,26.191609,7.138367,0.952285,0.748332,0.203953,24.59721,0.702777,2612.768905,0.769231,10,0.045455,1,0.954545,21,0.230769,3,0.909091,0.769231,0.833333,0.75333,0.937063,0.919421,0.885714,0.161938,0.838062,0.114286,0.887662,0.885714,0.883437,0.75333,0.937063,0.947131,0.873188,0.885714,1.945,0,1.927261,0.00025,54023,101687,14858,88.571429,52.857143,?
ionosphere,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20141103.1802,316,35,33,2,0,94.285714,5.714286,0,0.873646,0.066651,0.221246,14.376402,45.772441,33.329976,11.465861,21.864115,0.952285,0.327596,0.624689,28.593023,0.816944,3037.21283,0.846154,11,0,0,1,22,0.153846,2,1,0.846154,0.916667,0.880705,0.972028,0.970696,0.942857,0.096703,0.903297,0.057143,0.947619,0.942857,0.941718,0.880705,0.972028,0.977228,0.936594,0.942857,1.912,0,1.901251,0.000242,54023,101687,14858,97.142857,57.142857,?
